,ESGV,XLC,PICK,TSLA,COPX,ICLN,MRNA,QQQ,TAN,TTWO,PFE,PBW,OGIG,,,,,,,,,,,,,
,0.017300015,0.020569861,0.089253188,0.022671401,0.081291759,-0.024586689,0.200661261,0.021771847,-0.046827441,0.024488408,0.083534784,-0.06512605,0.005890438,,,,,,,,,,,,,
,-0.007848837,-0.000597193,0.012541806,0.018279247,-0.025060076,0.026944807,0.028914241,-0.012012307,0.029231147,0.052453937,0.019335647,0.002808989,0.030841304,,,,,,,,,,,,,
,0.017140346,0.002539588,0.011560694,0.13936294,0.048239437,0.096487516,-0.106416874,0.02719894,0.145584726,0.069291835,-0.083657588,0.102072829,0.046392729,,,,,,,,,,,,,
,0.002160449,-0.012665773,-0.008707483,-0.04781295,0.005374538,0.069471247,-0.120088426,-0.001612591,0.070833333,-0.00437583,-0.010881104,0.093635624,-0.011400651,,,,,,,,,,,,,
average,0.00505612,0.004880342,0.005848369,0.047743639,0.009909182,0.018908965,0.048887205,0.008128784,0.026606666,0.011371675,0.001198168,0.025874171,0.015231251,,,,,,,,,,,,,
std,4.47%,4.03%,5.80%,12.38%,6.41%,6.45%,15.93%,4.18%,7.96%,5.31%,4.43%,8.24%,4.86%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
P_mean,0.017664964,,,,,,,,,,,,,,,,,,,,,,,,,
P_variance,0.002407718,,,,,,,,,,,,,,,,,,,,,,,,,
P_std,4.91%,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,weights,average,,,ESGV,XLC,PICK,TSLA,COPX,ICLN,MRNA,QQQ,TAN,TTWO,PFE,PBW,OGIG,,,,,,,,,
ESGV,0.076923077,0.00505612,,ESGV,0.001999913,0.001713251,0.002262075,0.003792769,0.002444214,0.002397845,-0.000720175,0.001761725,0.002813482,0.001174627,0.00112702,0.00309814,0.001746069,,,,,,,,,
XLC,0.076923077,0.004880342,,XLC,0.001713251,0.001626581,0.00190323,0.003376571,0.002124058,0.001949364,-0.00045289,0.001577566,0.002341742,0.001091717,0.001001238,0.002585687,0.001604383,,,,,,,,,
PICK,0.076923077,0.005848369,,PICK,0.002262075,0.00190323,0.003360666,0.003940905,0.003483015,0.002852899,-3.19514E-05,0.001815446,0.003239243,0.001145316,0.001442268,0.003768476,0.001718657,,,,,,,,,
TSLA,0.076923077,0.047743639,,TSLA,0.003792769,0.003376571,0.003940905,0.015316061,0.004557918,0.004782133,0.001264433,0.003932521,0.006197899,0.002976157,0.001708865,0.006806215,0.004336647,,,,,,,,,
COPX,0.076923077,0.009909182,,COPX,0.002444214,0.002124058,0.003483015,0.004557918,0.004103526,0.003048765,-0.000989162,0.002017914,0.00361608,0.001235053,0.001328864,0.004212884,0.002026906,,,,,,,,,
ICLN,0.076923077,0.018908965,,ICLN,0.002397845,0.001949364,0.002852899,0.004782133,0.003048765,0.004161016,-0.000576053,0.002008305,0.005003212,0.001223185,0.001063525,0.00504843,0.00214703,,,,,,,,,
